beat,CaseNbr,building,address,streetname,PersonalLoss,ccClass,ccDescription,DateOccuredFrom,TimeOccuredFrom,DateOccuredTo,TimeOccuredTo,datereported,Timereported,LocationCriteria,ListValue,ccLevel,SiteName,
A,1400849,34TH ST & MCCLINTOCK AV,,,$0 ,TRAFFIC,Traffic Collision Without Injuries,03/04/14,20:20,03/04/14,20:21,03/04/14,20:24,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1401443,34TH ST & MCCLINTOCK AV,,,$239 ,PROPERTY,Recovered Property Without a Crime,04/14/14,21:25,04/14/14,21:26,04/14/14,21:25,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Apr
A,1401580,34TH ST & MCCLINTOCK AV,,,$0 ,TRAFFIC,Traffic Collision-Bicycle,04/24/14,21:45,04/24/14,21:50,04/24/14,21:47,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Apr
A,1401866,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Injury Response,05/13/14,21:30,01/01/00,00:00,05/13/14,21:37,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,May
A,1402360,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Injury Response,04/29/14,14:00,04/29/14,14:25,06/30/14,15:32,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jun
A,1402468,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Injury Response,07/13/14,06:00,07/13/14,06:00,07/13/14,06:03,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jul
A,1403483,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Injury Response,09/22/14,13:45,09/22/14,13:45,09/22/14,13:29,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Sep
A,1400275,34TH ST & TROUSDALE PKY,,,$0 ,ALCOHOL,Alcohol/Drug Overdose,01/26/14,02:30,01/26/14,03:00,01/26/14,02:27,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
A,1401047,34TH ST & TROUSDALE PKY,,,$0 ,THEFT-MOTOR VEHICLE,Theft from Motor Vehicle,03/20/14,20:30,03/20/14,20:45,03/20/14,20:45,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Mar
A,1401169,34TH ST & TROUSDALE PKY,,,$0 ,TRAFFIC,Parking Problem,03/30/14,00:22,03/30/14,00:50,03/30/14,00:22,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
