beat,CaseNbr,building,address,streetname,PersonalLoss,ccClass,ccDescription,DateOccuredFrom,TimeOccuredFrom,DateOccuredTo,TimeOccuredTo,datereported,Timereported,LocationCriteria,ListValue,ccLevel,SiteName,
A,1701119,34TH ST & MCCLINTOCK AV,,,$200 ,THEFT-PETTY,Theft Bicycle,03/31/17,18:30,04/03/17,11:00,04/03/17,17:02,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Apr
A,1702862,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Illness Response,09/10/17,21:10,09/10/17,21:20,09/10/17,21:10,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Sep
A,1703342,34TH ST & MCCLINTOCK AV,,,0,TRAFFIC,Traffic Collision Without Injuries,10/04/17,18:12,10/04/17,18:30,10/04/17,18:12,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Oct
A,1703345,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Injury Response,10/04/17,16:50,10/04/17,19:14,10/04/17,16:58,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Oct
A,1703492,34TH ST & MCCLINTOCK AV,,,$0 ,TRAFFIC,Traffic Collision Without Injuries,10/11/17,23:20,10/11/17,23:20,10/12/17,01:21,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Oct
A,1703785,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Injury Response,10/26/17,10:49,10/26/17,11:05,10/26/17,10:49,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Oct
A,1703815,34TH ST & MCCLINTOCK AV,,,$0 ,ALCOHOL,Alcohol/Drug Overdose,10/27/17,22:25,10/27/17,23:11,10/27/17,22:25,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Oct
A,1700260,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Damaged Property,01/26/17,00:30,01/26/17,00:30,01/26/17,00:30,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
A,1700320,34TH ST & TROUSDALE PKY,,,$0 ,WARRANT,Warrant Arrest,01/30/17,21:01,01/31/17,02:05,01/30/17,21:01,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Jan
A,1701698,34TH ST & TROUSDALE PKY,,,$0 ,TRAFFIC,Traffic Collision-Pedestrian,05/18/17,19:17,05/18/17,19:45,05/18/17,19:17,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,May
