beat,CaseNbr,building,address,streetname,PersonalLoss,ccClass,ccDescription,DateOccuredFrom,TimeOccuredFrom,DateOccuredTo,TimeOccuredTo,datereported,Timereported,LocationCriteria,ListValue,ccLevel,SiteName,
A,1500125,34TH ST & MCCLINTOCK AV,,,$0 ,TRAFFIC,Traffic Collision Without Injuries,01/14/15,08:30,01/14/15,08:35,01/14/15,09:00,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
A,1500897,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Injury Response,03/02/15,19:38,03/02/15,19:38,03/02/15,19:38,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1501364,34TH ST & MCCLINTOCK AV,,,$0 ,OBSCENE ACTIVITY,"Obscene, Annoying, Threatening Phone Calls",03/28/15,19:11,03/28/15,19:11,03/28/15,19:11,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Mar
A,1504280,34TH ST & MCCLINTOCK AV,,,$0 ,TRAFFIC,Traffic Collision-Bicycle,10/26/15,19:10,10/26/15,19:30,10/16/15,19:53,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Oct
A,1500976,34TH ST & TROUSDALE PKY,,,$0 ,THEFT-PETTY,Theft Petty-Plain,03/05/15,14:00,03/06/15,17:00,03/06/15,17:16,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Mar
A,1500989,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Recovered Property Without a Crime,03/07/15,21:50,03/07/15,22:00,03/07/15,05:16,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1501672,34TH ST & TROUSDALE PKY,,,$0 ,SERVICE,Injury Response,04/14/15,13:00,04/14/15,13:10,04/14/15,13:10,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Apr
A,1501940,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Damaged Property,05/01/15,08:15,05/01/15,08:15,05/01/15,08:15,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,May
A,1502325,34TH ST & TROUSDALE PKY,,,$0 ,TRESPASS,Trespassing,06/01/15,17:08,06/01/15,17:08,06/01/15,17:00,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Jun
A,1502768,34TH ST & TROUSDALE PKY,,,$0 ,BATTERY,Battery,07/19/15,11:57,07/19/15,11:58,07/19/15,12:05,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Jul
A,1502975,34TH ST & TROUSDALE PKY,,,$0 ,TRAFFIC,Traffic Collision With Injuries,08/07/15,08:23,08/07/15,09:04,08/07/15,08:23,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Aug
A,1503265,34TH ST & TROUSDALE PKY,,,$0 ,SERVICE,Injury Response,08/27/15,11:55,08/27/15,11:55,08/27/15,12:00,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Aug
A,1503300,34TH ST & TROUSDALE PKY,,,$0 ,VEHICLE CODE,Possession Fake Identification,08/29/15,01:24,08/29/15,01:24,08/29/15,01:24,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Aug
A,1503308,34TH ST & TROUSDALE PKY,,,$0 ,SERVICE,Suspicious Circumstances,08/29/15,20:40,08/29/15,20:42,08/29/15,20:44,0,Street Intersection,O,UNIVERSITY PARK CAMPUS,Aug
