beat,CaseNbr,building,address,streetname,PersonalLoss,ccClass,ccDescription,DateOccuredFrom,TimeOccuredFrom,DateOccuredTo,TimeOccuredTo,datereported,Timereported,LocationCriteria,ListValue,ccLevel,SiteName,
A,1200186,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Interfering/Resisting Arrest,01/17/12,16:45,01/17/12,16:45,01/17/12,16:45,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Jan
A,1200187,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,01/17/12,10:50,01/17/12,10:50,01/17/12,10:50,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
A,1200188,34TH ST & MCCLINTOCK AV,,,0,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,01/17/12,11:05,01/17/12,11:05,01/17/12,11:05,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
A,1200231,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,01/18/12,13:05,01/18/12,13:05,01/18/12,13:05,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
A,1200232,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,01/18/12,13:00,01/18/12,13:00,01/18/12,13:00,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
A,1200233,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,01/18/12,13:00,01/18/12,13:00,01/18/12,13:00,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
A,1200234,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,01/18/12,12:35,01/18/12,12:35,01/18/12,12:35,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
A,1200235,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,01/18/12,12:05,01/18/12,12:05,01/18/12,12:05,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
A,1200236,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,01/18/12,12:00,01/18/12,12:00,01/18/12,12:00,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
A,1200534,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,02/06/12,12:30,02/06/12,12:30,02/06/12,12:30,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Feb
A,1200535,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,02/06/12,12:25,02/06/12,12:25,02/06/12,12:25,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Feb
A,1200536,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,02/06/12,12:05,02/06/12,12:05,02/06/12,12:05,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Feb
A,1200574,34TH ST & MCCLINTOCK AV,,,$0 ,WARRANT,Warrant Arrest,02/09/12,15:11,02/09/12,15:26,02/09/12,15:11,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Feb
A,1201237,34TH ST & MCCLINTOCK AV,,,$0 ,TRAFFIC,Traffic Collision-Bicycle,03/28/12,12:45,03/28/12,12:50,03/28/12,12:45,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1205020,34TH ST & MCCLINTOCK AV,,,$0 ,ADMINISTRATIVE,Report Voided,01/01/00,00:00,01/01/00,00:00,12/17/12,10:56,0,Street Intersection,O,UNIVERSITY PARK CAMPUS,Dec
A,1200368,34TH ST & TROUSDALE PKY,,,$0 ,SERVICE,Commitment To Mental Health For 72 Hrs,01/27/12,10:20,01/27/12,12:30,01/27/12,10:23,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
