beat,CaseNbr,building,address,streetname,PersonalLoss,ccClass,ccDescription,DateOccuredFrom,TimeOccuredFrom,DateOccuredTo,TimeOccuredTo,datereported,Timereported,LocationCriteria,ListValue,ccLevel,SiteName,
A,1300869,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,02/28/13,14:30,02/28/13,14:45,02/28/13,15:24,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Feb
A,1301218,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Welfare Check,03/21/13,15:15,03/21/13,16:20,03/21/13,15:15,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1301254,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,03/25/13,14:15,03/25/13,14:25,03/25/13,14:23,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1301487,34TH ST & MCCLINTOCK AV,,,$0 ,DISTURBANCE,Disturbing The Peace,04/09/13,11:35,04/09/13,12:53,04/09/13,11:35,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Apr
A,1301853,34TH ST & MCCLINTOCK AV,,,$0 ,DISORDERLY CONDUCT,Violation of Campus Bicycle Policies,01/01/00,00:00,01/01/00,00:00,05/01/13,13:17,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,May
A,1302096,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Suspicious Circumstances,05/18/13,04:10,05/18/13,04:10,05/18/13,04:12,0,Street Intersection,O,UNIVERSITY PARK CAMPUS,May
A,1303373,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Injury Response,09/05/13,10:40,09/05/13,11:13,09/05/13,10:40,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Sep
A,1304187,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Commitment To Mental Health For 72 Hrs,10/15/13,13:05,10/15/13,14:24,10/15/13,13:05,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Oct
A,1304971,34TH ST & MCCLINTOCK AV,,,$0 ,DISTURBANCE,Disturbing The Peace,11/26/13,13:58,11/26/13,14:31,11/26/13,13:59,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Nov
A,1300636,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Damaged Property,02/12/13,15:20,02/12/12,15:30,02/12/13,15:36,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Feb
A,1300795,34TH ST & TROUSDALE PKY,,,$0 ,SERVICE,Suspicious Circumstances,02/23/13,20:49,02/23/13,21:46,02/23/13,20:49,0,Street Intersection,O,UNIVERSITY PARK CAMPUS,Feb
A,1300876,34TH ST & TROUSDALE PKY,,,$0 ,TRAFFIC,Traffic Collision-Bicycle,02/28/13,18:58,02/28/13,18:58,02/28/13,18:58,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Feb
A,1301240,34TH ST & TROUSDALE PKY,,,$0 ,SERVICE,Injury Response,03/23/13,12:20,03/23/13,12:50,03/23/13,12:24,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1301667,34TH ST & TROUSDALE PKY,,,$0 ,SERVICE,Injury Response,04/19/13,16:10,04/19/13,00:00,04/19/13,16:17,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Apr
A,1301692,34TH ST & TROUSDALE PKY,,,$0 ,DISTURBANCE,Disturbing The Peace,04/21/13,05:00,04/21/13,05:20,04/21/13,05:00,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Apr
A,1302400,34TH ST & TROUSDALE PKY,,,$0 ,TRAFFIC,Traffic Collision-Bicycle,06/17/13,21:30,06/17/13,21:45,06/17/13,21:00,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jun
A,1302939,34TH ST & TROUSDALE PKY,,,$0 ,SERVICE,Injury Response,08/04/13,11:34,08/04/13,12:02,08/04/13,11:34,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Aug
A,1303181,34TH ST & TROUSDALE PKY,,,$0 ,ALCOHOL,Alcohol/Drug Overdose,08/24/13,22:30,08/24/13,22:45,08/24/13,23:17,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Aug
A,1303369,34TH ST & TROUSDALE PKY,,,$0 ,WARRANT,Warrant Arrest,09/04/13,23:20,09/04/13,23:58,09/04/13,23:23,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Sep
A,1303448,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Damaged Property,09/09/13,10:00,09/09/13,10:05,09/09/13,09:59,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Sep
A,1303779,34TH ST & TROUSDALE PKY,,,$0 ,VEHICLE CODE,Driving Under Influence,09/24/13,00:54,09/24/13,00:54,09/24/13,00:54,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Sep
A,1304409,34TH ST & TROUSDALE PKY,,,$0 ,ADMINISTRATIVE,Report Voided,01/01/00,00:00,01/01/00,00:00,10/28/13,13:52,0,Street Intersection,O,UNIVERSITY PARK CAMPUS,Oct
A,1304929,34TH ST & TROUSDALE PKY,,,$750 ,THEFT-GRAND PERSON,Grand Theft Person,11/24/13,01:20,11/24/13,01:25,11/24/13,01:25,0,Street Intersection,F,UNIVERSITY PARK CAMPUS,Nov
A,1300044,34TH ST & WATT WY,,,$0 ,WARRANT,Warrant Arrest,01/07/13,19:57,01/07/13,22:45,01/07/13,19:46,0,Street Intersection,M,UNIVERSITY PARK CAMPUS,Jan
A,1300309,34TH ST & WATT WY,,,$0 ,TRAFFIC,Traffic Collision-Bicycle,01/24/13,00:00,01/24/13,00:00,01/24/13,15:36,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jan
A,1301990,34TH ST & WATT WY,,,$0 ,TRAFFIC,Traffic Collision-Bicycle,05/11/13,12:30,05/11/13,12:30,05/11/13,13:03,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,May
A,1302346,34TH ST & WATT WY,,,$0 ,TRAFFIC,Traffic Collision Without Injuries,06/12/13,13:00,06/12/13,13:45,06/12/13,13:51,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Jun
A,1303952,34TH ST & WATT WY,,,$0 ,PROPERTY,Recovered Property Without a Crime,10/05/13,00:00,10/05/13,00:30,10/05/13,00:35,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Oct
A,1300090,AHMANSON CENTER FOR BIOLOGICAL RESEARCH,825,BLOOM WK,$0 ,PROPERTY,Lost/Missing Property,01/11/13,13:00,01/11/13,15:00,01/11/13,15:29,0,Classroom/Research,O,UNIVERSITY PARK CAMPUS,Jan
A,1300249,AHMANSON CENTER FOR BIOLOGICAL RESEARCH,825,BLOOM WK,$0 ,BURGLARY,Burglary-Commercial,01/18/13,12:30,01/22/13,08:00,01/22/13,08:10,0,Classroom/Research,F,UNIVERSITY PARK CAMPUS,Jan
A,1301905,AHMANSON CENTER FOR BIOLOGICAL RESEARCH,825,BLOOM WK,$0 ,TRAFFIC,Altered Parking Permit,05/04/13,08:00,05/04/13,14:24,05/04/13,15:58,0,Classroom/Research,I,UNIVERSITY PARK CAMPUS,May
A,1302009,AHMANSON CENTER FOR BIOLOGICAL RESEARCH,825,BLOOM WK,$0 ,PROPERTY,Lost/Missing Property,05/13/13,10:00,05/13/13,10:45,05/13/13,10:29,0,Classroom/Research,O,UNIVERSITY PARK CAMPUS,May
