beat,CaseNbr,building,address,streetname,PersonalLoss,ccClass,ccDescription,DateOccuredFrom,TimeOccuredFrom,DateOccuredTo,TimeOccuredTo,datereported,Timereported,LocationCriteria,ListValue,ccLevel,SiteName,
A,1600928,34TH ST & MCCLINTOCK AV,,,$0 ,SERVICE,Injury Response,03/08/16,09:09,03/08/16,09:32,03/08/16,09:09,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1601193,34TH ST & MCCLINTOCK AV,,,$0 ,TRAFFIC,Traffic Collision Without Injuries,03/29/16,12:30,03/29/16,12:30,03/29/16,13:58,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1601383,34TH ST & MCCLINTOCK AV,,,0,SERVICE,Injury Response,04/08/16,08:24,04/08/16,09:18,04/08/16,08:24,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Apr
A,1600412,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Recovered/Impounded Bicycle,02/02/16,18:05,02/02/16,18:05,02/02/16,18:05,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Feb
A,1600739,34TH ST & TROUSDALE PKY,,,$0 ,TRAFFIC,Traffic Collision With Injuries,02/23/16,19:37,02/23/16,20:09,02/23/16,19:37,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Feb
A,1601142,34TH ST & TROUSDALE PKY,,,$0 ,SERVICE,Illness Response,03/25/16,18:38,03/26/16,00:43,03/25/16,18:38,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1601196,34TH ST & TROUSDALE PKY,,,$250 ,PROPERTY,Damaged Property,03/29/16,15:38,03/29/16,16:27,03/29/16,15:38,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
A,1601313,34TH ST & TROUSDALE PKY,,,$0 ,TRAFFIC,Traffic Collision-Bicycle,04/04/16,20:32,04/04/16,21:29,04/04/16,20:32,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Apr
A,1601708,34TH ST & TROUSDALE PKY,,,$0 ,SERVICE,Injury Response,04/29/16,20:07,04/29/16,20:07,04/29/16,20:07,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Apr
A,1603357,34TH ST & TROUSDALE PKY,,,$0 ,PROPERTY,Recovered/Impounded Bicycle,09/12/16,16:45,09/12/16,16:46,09/12/16,16:45,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Sep
A,1604366,34TH ST & TROUSDALE PKY,,,$0 ,SERVICE,Suspicious Circumstances,11/09/16,10:14,11/09/16,14:03,11/09/16,10:14,0,Street Intersection,O,UNIVERSITY PARK CAMPUS,Nov
A,1601162,34TH ST & WATT WY,,,$0 ,ALCOHOL,Alcohol/Drug Overdose,03/27/16,01:29,03/27/16,01:51,03/27/16,01:29,0,Street Intersection,I,UNIVERSITY PARK CAMPUS,Mar
